ID Transaksi;Tanggal;Bulan;Tahun;Usia Pembeli;Gender;Berat Barang (gr);Berapa Kali Transaksi;Waktu Pengiriman (Hari);Ongkos Kirim
3119;27;11;2024;61;P;707;19;3;30000
5242;17;3;2022;67;L;547;13;8;30000
3551;25;7;2024;22;P;871;14;7;40000
9873;2;6;2023;39;P;867;8;10;10000
7127;22;2;2022;42;L;924;16;14;20000
7995;27;11;2022;43;P;822;18;8;20000
8917;16;8;2023;44;L;9;5;13;50000
2821;29;4;2024;31;P;255;11;4;10000
5544;9;8;2024;36;L;956;2;6;10000
3311;18;11;2022;45;P;413;8;7;30000
1979;17;11;2022;53;L;104;6;14;50000
7266;23;11;2022;25;L;268;16;6;40000
9564;16;8;2024;43;P;644;18;2;30000
1449;9;5;2022;27;L;546;9;9;40000
6592;7;3;2023;25;L;480;16;6;20000
5382;30;11;2024;67;P;301;10;11;20000
5157;28;4;2023;54;P;938;16;13;10000
7609;18;6;2024;33;P;969;17;6;10000
1132;19;2;2022;40;P;66;20;7;50000
8963;18;10;2024;23;L;264;7;9;10000
9394;30;9;2022;27;P;11;17;7;10000
4735;13;10;2024;52;P;803;17;12;20000
1597;15;9;2023;71;L;817;15;10;10000
9374;16;6;2022;57;P;765;19;1;50000
2360;26;7;2024;45;P;420;12;1;50000
1478;22;8;2022;55;L;19;10;6;50000
1821;16;7;2022;59;L;556;3;6;50000
5745;15;1;2024;76;L;577;12;3;10000
3942;20;7;2022;55;P;799;12;4;40000
3971;29;12;2023;70;L;829;8;14;10000
5488;31;6;2024;21;P;977;15;3;30000
3558;4;5;2024;63;P;915;1;12;50000
8289;26;3;2022;67;P;58;16;12;40000
7519;29;10;2022;51;L;851;7;12;40000
2252;13;8;2022;28;L;760;20;6;30000
3111;24;4;2022;77;L;469;1;10;40000
1697;7;9;2022;54;L;364;9;6;40000
444;15;12;2022;51;P;432;6;4;30000
2917;4;10;2024;40;P;337;5;4;30000
6904;21;10;2022;58;L;674;20;14;40000
7925;26;10;2024;21;P;908;8;7;40000
3724;1;10;2022;46;L;813;12;8;30000
3637;24;5;2024;79;P;877;3;7;20000
3276;5;8;2023;49;P;121;7;9;30000
7122;20;4;2024;49;P;369;10;9;40000
4943;28;12;2023;78;L;552;3;12;30000
1283;27;6;2023;75;L;72;20;14;20000
3744;3;6;2023;39;P;685;13;2;10000
3972;13;8;2024;42;L;768;9;11;10000
6881;31;10;2024;23;L;164;12;11;40000
4956;23;7;2024;49;L;571;8;2;10000
1451;30;4;2023;54;P;925;8;11;40000
9378;11;1;2022;66;L;667;9;12;20000
6459;21;3;2023;70;L;342;7;11;40000
6526;3;9;2023;73;P;67;17;4;40000
2608;17;9;2024;33;P;954;15;6;40000
6925;27;9;2022;58;L;496;10;11;30000
2546;3;6;2022;66;L;350;12;13;20000
5535;12;9;2024;22;P;135;5;9;50000
7673;19;12;2022;61;P;242;9;11;20000
362;4;5;2023;29;P;478;5;4;50000
3041;4;11;2023;24;P;401;8;12;40000
124;9;5;2023;80;L;814;9;12;30000
4005;6;4;2024;34;L;971;1;6;40000
3436;14;7;2024;76;L;639;17;14;10000
8762;10;4;2024;56;L;563;1;6;10000
7459;1;10;2024;51;P;563;14;8;20000
3631;31;10;2024;27;P;138;12;6;10000
6715;19;12;2022;71;L;937;12;9;30000
9577;26;1;2022;80;L;849;14;2;20000
3225;2;12;2022;61;P;276;11;12;30000
3956;26;6;2023;71;L;643;4;13;40000
7864;30;12;2022;21;L;76;5;5;20000
973;23;3;2022;22;L;965;19;10;10000
1046;12;3;2023;22;P;165;6;7;50000
70;2;12;2023;79;L;947;3;11;20000
8751;9;10;2024;36;P;838;9;12;30000
808;1;9;2022;36;L;388;5;13;20000
6819;9;11;2022;50;P;10;15;2;40000
5912;14;8;2024;64;L;69;6;10;40000
9382;15;7;2023;25;P;933;20;7;50000
2569;13;8;2022;58;P;631;3;11;20000
7784;23;4;2023;65;P;576;12;3;40000
953;14;11;2023;38;L;616;4;7;20000
5448;7;8;2024;21;L;850;17;11;10000
625;2;3;2024;64;P;646;10;11;10000
4130;29;9;2022;31;L;203;18;11;50000
8581;19;6;2022;67;P;684;14;7;40000
1771;10;6;2023;27;L;8;14;12;10000
2175;24;5;2023;21;L;705;14;5;40000
768;13;3;2022;54;L;135;10;9;20000
6282;6;10;2024;60;P;343;13;4;20000
1527;14;2;2022;30;L;274;3;3;30000
1623;21;4;2022;67;L;524;18;3;20000
6133;22;6;2023;25;P;663;18;2;50000
2316;30;12;2024;45;P;216;19;7;40000
1447;10;7;2024;39;L;911;11;11;50000
2347;15;6;2024;23;P;817;17;12;40000
7684;5;5;2023;37;L;960;13;8;30000
1409;7;1;2022;38;P;594;17;8;50000
8495;3;1;2022;70;L;869;17;5;30000
9306;4;6;2022;25;L;614;11;11;30000
7743;8;7;2024;26;L;247;4;2;10000
1564;26;4;2023;74;P;732;1;12;50000
6969;10;11;2023;80;P;653;13;14;40000
49;23;3;2024;41;P;703;20;6;20000
4924;20;2;2024;50;P;963;14;11;40000
1322;13;9;2024;53;L;176;1;14;10000
531;3;3;2023;30;L;670;14;6;20000
8307;29;5;2022;53;P;15;16;9;20000
3894;7;7;2023;76;P;507;6;9;50000
4761;25;9;2022;58;L;265;1;9;20000
4540;24;1;2024;51;L;593;17;1;50000
1358;21;2;2022;55;L;704;20;12;50000
5078;23;2;2023;52;P;601;2;2;50000
2918;27;6;2023;64;L;134;2;2;20000
182;22;9;2024;39;P;855;16;14;20000
5655;15;6;2024;74;L;799;5;4;20000
8408;6;9;2022;47;L;537;2;8;30000
4111;23;12;2023;21;P;222;3;7;50000
195;4;12;2023;43;L;532;6;4;40000
1549;8;2;2024;43;L;585;16;7;40000
8744;24;3;2022;29;P;899;13;3;40000
2647;19;8;2024;77;L;665;14;1;30000
1445;7;2;2022;45;P;850;7;6;30000
7726;30;9;2023;38;L;543;2;4;10000
606;14;8;2024;38;L;332;12;7;30000
9847;8;11;2022;47;L;669;2;3;10000
2177;26;9;2023;39;P;632;8;4;20000
2834;31;4;2023;43;L;897;12;8;20000
3059;23;4;2022;49;P;349;6;5;10000
7084;11;10;2024;72;L;832;10;13;50000
9045;18;6;2023;40;L;141;8;13;40000
4520;6;2;2023;36;L;16;15;12;40000
7896;27;7;2022;58;L;253;17;7;40000
867;8;10;2023;32;L;627;7;13;40000
344;22;11;2024;78;P;171;17;13;10000
7413;26;9;2024;59;P;863;15;6;40000
6795;18;2;2022;23;P;79;3;13;30000
6672;24;8;2023;32;P;407;7;2;50000
5601;31;1;2024;31;P;459;10;7;50000
9273;10;3;2023;58;P;265;19;7;50000
4835;18;8;2023;48;P;304;19;4;30000
9884;19;10;2024;46;L;998;5;12;40000
8899;8;10;2024;79;L;304;3;6;20000
5035;13;6;2022;75;L;868;1;4;10000
6010;9;3;2022;35;P;781;1;10;20000
4238;21;11;2022;79;L;998;8;5;30000
2689;21;9;2024;71;L;467;16;6;40000
7026;15;2;2022;64;P;588;2;4;50000
3670;24;8;2022;28;P;125;5;13;10000
1848;8;12;2022;76;L;436;5;2;40000
7615;16;10;2024;35;P;163;18;2;10000
3913;24;12;2024;42;L;247;20;11;40000
2100;25;1;2023;63;P;735;16;1;30000
6351;4;10;2022;22;L;231;15;6;50000
2084;17;7;2023;36;P;543;14;8;40000
9647;14;7;2023;41;L;994;8;13;40000
5975;19;3;2023;58;L;811;7;2;10000
8103;28;3;2023;61;L;353;2;7;50000
859;7;1;2023;62;P;293;3;12;10000
8185;4;12;2023;51;P;414;13;8;30000
471;13;3;2023;43;L;608;18;6;50000
1039;15;6;2024;60;P;390;9;12;40000
3960;22;3;2022;69;P;816;15;12;20000
6977;27;8;2023;55;L;896;9;1;50000
1950;19;12;2022;46;P;58;18;13;50000
7017;2;7;2023;74;P;358;4;8;20000
6372;14;1;2023;44;P;234;15;12;20000
6239;27;6;2024;28;L;264;19;14;50000
2610;4;3;2022;43;L;567;13;9;10000
7189;31;8;2023;70;P;405;5;8;20000
2807;22;5;2022;77;P;297;8;6;30000
3407;30;6;2023;30;P;551;16;9;20000
7844;22;9;2024;34;P;190;18;2;10000
6037;21;2;2023;45;L;148;16;9;30000
4050;22;6;2023;69;P;265;18;10;10000
903;6;4;2023;55;L;431;20;1;50000
6447;29;2;2024;41;P;917;13;2;50000
799;9;12;2023;61;P;433;20;1;40000
4645;3;11;2023;38;L;920;18;6;40000
5384;15;4;2024;55;L;660;12;11;20000
1613;26;4;2023;57;P;186;1;7;10000
8259;7;3;2022;77;P;711;5;11;40000
8304;30;12;2024;74;L;257;8;8;10000
2070;17;1;2024;39;L;806;4;8;10000
1258;9;3;2024;39;P;477;16;1;30000
7646;16;6;2023;48;L;836;11;12;50000
684;1;7;2022;74;P;901;12;7;50000
3323;1;9;2022;60;L;831;4;11;20000
6650;20;4;2022;72;P;747;14;1;30000
8320;8;2;2023;76;P;330;17;2;50000
1327;26;12;2022;28;L;33;6;7;10000
6808;26;3;2022;79;P;132;9;6;10000
1002;3;7;2022;23;L;392;19;13;50000
651;14;9;2022;30;P;283;19;2;40000
1191;28;7;2024;63;P;845;7;1;20000
7668;6;7;2022;35;P;237;12;11;40000
8540;28;6;2023;61;L;5;6;7;40000
2991;1;4;2024;63;L;158;5;8;20000
7424;21;2;2023;25;P;571;12;9;20000
5879;28;12;2024;38;L;754;18;7;30000
6848;18;12;2022;56;P;501;20;3;10000
6538;28;4;2024;29;P;806;8;14;20000
5190;31;7;2023;80;P;739;15;7;30000
4788;7;5;2023;57;L;932;1;14;10000
3573;28;10;2023;26;L;244;12;3;20000
4792;7;4;2023;46;L;293;15;6;30000
8514;20;10;2023;58;L;766;17;4;30000
3672;19;12;2023;68;L;407;3;8;40000
9279;30;5;2022;66;P;296;1;13;10000
1787;15;4;2022;47;L;873;12;10;30000
8128;16;11;2024;42;P;809;5;3;40000
8900;4;5;2023;39;P;347;15;1;50000
7187;20;9;2022;70;L;770;20;3;20000
8789;24;5;2022;64;P;629;11;12;40000
6763;5;6;2022;55;L;306;10;12;10000
1421;1;4;2023;52;L;649;12;10;40000
4837;6;5;2022;57;P;895;19;3;50000
7942;14;8;2024;72;P;103;15;11;10000
1946;6;1;2023;36;P;904;7;1;30000
6124;30;11;2022;59;P;237;6;5;50000
4615;14;11;2023;45;L;809;3;2;10000
9177;26;11;2024;68;P;204;9;4;50000
9196;24;8;2023;60;P;660;17;5;50000
6148;23;11;2022;37;P;168;10;3;10000
6505;21;11;2023;53;L;824;10;4;30000
1455;6;2;2023;68;L;670;11;4;50000
2457;10;10;2024;79;P;783;12;3;30000
4274;9;4;2022;39;P;200;15;14;50000
3002;16;3;2023;22;L;433;10;6;30000
8931;14;5;2023;42;P;648;1;11;40000
6936;14;4;2023;46;L;316;2;7;50000
7674;29;7;2023;56;L;833;8;2;30000
4348;20;9;2022;71;L;846;13;9;50000
968;11;3;2023;32;L;314;5;1;30000
9773;8;12;2024;58;L;649;6;13;40000
4831;14;6;2024;31;L;450;10;13;20000
5765;4;4;2022;33;P;680;9;12;20000
1129;10;4;2023;70;P;422;13;10;10000
3404;24;5;2023;72;P;193;7;13;10000
4168;30;3;2024;31;P;474;9;7;10000
7716;12;10;2024;72;L;219;17;7;40000
8049;12;1;2022;35;P;53;15;8;20000
423;20;8;2023;22;P;226;16;2;10000
8858;26;9;2022;56;P;39;16;1;10000
5614;29;6;2023;59;P;505;10;14;20000
2712;14;1;2023;52;P;988;6;5;50000
3328;15;2;2022;59;L;690;19;14;40000
3591;11;6;2023;58;P;478;1;11;50000
1494;8;12;2022;65;P;240;20;4;30000
1621;4;12;2023;78;L;279;1;12;20000
7450;21;1;2022;71;L;480;4;4;50000
7390;21;6;2024;65;L;166;2;1;10000
7835;16;1;2023;64;L;421;10;10;30000
4929;11;11;2024;26;P;432;11;13;20000
452;19;12;2024;30;P;36;4;4;40000
8093;11;4;2024;41;P;393;16;1;20000
919;9;11;2024;49;P;510;9;3;40000
2462;17;7;2023;43;L;562;18;8;20000
5149;31;12;2024;44;L;444;16;6;40000
552;13;8;2022;21;P;57;19;1;40000
2120;5;2;2023;66;L;127;19;14;20000
873;19;9;2023;38;L;279;1;2;30000
8207;15;12;2022;21;L;527;9;10;50000
7701;17;9;2023;31;L;362;7;1;10000
8196;5;3;2022;71;P;948;18;8;40000
6474;11;8;2022;77;P;951;5;5;20000
1956;20;10;2023;71;L;401;10;1;20000
8540;4;1;2023;36;L;40;6;8;20000
5990;17;12;2024;62;P;234;15;8;50000
3350;25;3;2022;40;L;697;8;6;50000
2024;6;7;2022;47;L;471;4;8;40000
6952;18;10;2023;25;P;173;7;9;10000
5254;27;7;2022;40;P;515;5;2;50000
4369;18;9;2023;35;P;877;7;6;30000
6854;26;11;2023;55;P;98;5;7;20000
2124;12;11;2022;80;P;495;8;11;40000
4790;9;2;2024;64;L;35;8;12;40000
1950;15;6;2022;54;P;208;8;11;20000
9362;14;11;2024;48;L;523;16;11;30000
4108;12;1;2024;66;L;769;1;8;40000
4314;21;4;2022;37;P;922;18;3;40000
8160;10;8;2024;36;L;670;9;4;40000
1299;3;10;2024;66;P;351;13;7;50000
1876;21;1;2022;67;L;51;12;11;30000
3836;26;2;2022;50;L;627;5;4;30000
6511;16;7;2023;67;L;107;16;11;20000
2859;31;12;2024;37;P;747;14;4;20000
5777;14;8;2022;75;P;461;10;2;30000
2566;29;1;2023;53;L;671;1;1;30000
1646;22;10;2023;38;L;72;12;7;10000
4957;12;3;2024;25;L;869;7;12;40000
8137;1;2;2024;30;L;245;5;9;20000
8252;12;8;2023;42;P;720;19;13;30000
7428;7;4;2022;72;L;589;16;5;10000
9100;20;7;2022;26;P;320;13;4;30000
1621;2;9;2023;26;P;77;12;2;10000
8507;18;2;2024;43;L;763;13;14;30000
1374;24;11;2022;44;P;418;13;3;10000
2619;14;12;2023;64;L;34;6;1;20000
1001;27;12;2022;68;P;406;15;9;50000
654;4;8;2024;22;L;561;9;5;50000
8620;9;11;2024;53;L;584;16;13;30000
7697;2;3;2022;79;L;40;6;1;10000
2716;6;7;2023;63;L;323;12;3;30000
207;15;5;2023;74;P;856;8;5;10000
4550;19;11;2024;58;L;478;7;2;20000
9030;9;3;2022;33;P;371;17;4;50000
7325;3;11;2022;38;P;431;2;7;50000
4774;17;7;2024;65;L;121;16;14;10000
666;14;7;2024;30;L;433;18;10;20000
3012;9;8;2023;70;P;533;3;3;40000
1573;4;11;2024;28;P;177;18;6;20000
4801;14;6;2024;40;P;180;15;2;40000
2552;19;9;2023;36;L;286;1;14;20000
6887;7;9;2023;75;L;122;19;5;40000
9236;25;9;2022;29;L;99;1;5;50000
4230;27;3;2024;70;L;789;12;3;20000
3804;16;6;2022;58;P;128;16;13;50000
2438;12;7;2022;30;P;583;1;8;30000
4769;20;8;2022;30;P;883;3;10;30000
6235;6;7;2023;42;L;295;19;8;30000
4129;29;6;2022;73;P;156;11;12;20000
5030;30;2;2022;41;P;634;17;9;10000
5281;14;10;2023;60;L;483;2;6;50000
5882;5;10;2024;32;P;791;15;11;10000
9137;24;8;2024;34;L;298;7;11;20000
2174;31;4;2023;34;P;403;13;5;50000
7887;25;10;2024;75;P;653;20;9;50000
3918;30;2;2024;44;L;569;2;5;40000
8706;4;7;2022;38;P;163;18;9;20000
9764;22;10;2024;61;L;681;2;6;40000
1127;26;7;2024;46;L;603;1;8;20000
7790;17;10;2022;58;L;27;3;12;40000
7086;24;11;2024;59;L;564;9;8;50000
8196;9;4;2022;24;L;316;4;1;50000
7724;20;3;2023;45;L;827;4;4;10000
4526;20;9;2022;61;P;95;6;2;10000
1155;1;12;2024;43;L;679;8;9;10000
8701;17;6;2024;58;L;607;3;7;40000
454;12;2;2024;60;P;933;19;11;10000
6030;5;8;2022;34;P;320;12;3;40000
3405;4;1;2024;79;L;814;5;1;20000
1459;13;9;2022;28;P;472;9;13;20000
8476;28;2;2024;47;L;674;15;9;30000
2340;3;4;2022;41;L;524;6;11;20000
1293;25;11;2022;36;L;226;1;5;50000
5962;29;8;2023;60;L;690;4;5;50000
8393;11;8;2023;72;P;391;13;1;20000
705;5;11;2023;69;P;378;18;13;20000
8547;19;12;2023;79;L;473;19;11;50000
2419;24;2;2024;59;L;411;12;13;40000
9846;20;7;2022;27;L;201;13;3;10000
1019;20;2;2022;68;P;883;12;12;50000
3990;28;3;2024;71;P;969;19;12;30000
4472;2;4;2024;45;P;995;20;13;30000
4022;19;1;2023;57;L;675;12;2;40000
9624;22;8;2023;63;L;179;8;5;40000
6151;16;7;2023;55;L;940;14;3;30000
1415;30;12;2022;65;L;56;3;11;30000
7188;12;12;2023;53;P;820;11;12;30000
5578;26;3;2024;69;P;85;18;14;30000
9022;20;9;2023;57;P;131;16;1;20000
3985;2;8;2023;59;L;589;5;12;50000
3678;29;9;2022;56;L;361;19;12;50000
240;26;4;2023;24;L;752;8;7;20000
1719;30;5;2024;41;P;139;17;9;30000
4398;5;9;2024;42;P;543;1;7;40000
691;22;9;2024;72;P;730;7;7;50000
4244;8;6;2024;67;P;896;3;8;20000
330;17;10;2022;37;L;686;1;8;50000
1321;9;6;2024;55;P;219;12;12;20000
6059;18;11;2024;35;P;856;20;1;50000
6931;27;9;2023;32;P;22;8;8;20000
2774;11;9;2024;51;L;487;11;3;30000
4451;14;12;2022;53;L;657;6;10;30000
5909;18;4;2023;54;P;653;7;1;50000
1917;25;11;2022;30;P;810;20;14;10000
8678;25;11;2023;36;L;859;8;7;20000
3626;19;9;2023;67;L;932;12;14;10000
8695;18;7;2023;76;P;164;13;1;50000
766;25;5;2022;69;L;767;6;3;30000
2862;6;1;2023;50;L;757;14;1;50000
7705;2;7;2022;21;P;704;19;13;30000
3424;8;3;2023;29;P;392;12;6;10000
3818;19;8;2024;22;L;498;16;2;20000
8789;8;5;2022;26;P;157;16;1;20000
2901;1;8;2023;67;P;168;19;2;10000
9062;1;12;2022;68;L;691;14;2;10000
5801;20;1;2023;40;L;704;15;2;50000
3669;4;5;2022;33;L;302;4;9;20000
2981;15;6;2022;29;P;541;8;2;50000
7140;16;10;2024;68;L;518;15;4;10000
9260;3;11;2022;24;L;734;13;12;20000
5289;8;6;2022;29;P;953;11;13;30000
7395;3;9;2022;73;P;532;18;8;30000
4836;23;5;2024;61;P;262;7;14;40000
6341;17;4;2024;51;P;658;9;13;40000
2231;7;12;2023;44;L;883;16;5;10000
9597;4;1;2023;28;L;312;11;1;40000
6796;30;11;2022;64;L;574;6;4;40000
8566;27;4;2022;29;P;248;3;8;20000
2814;22;7;2022;47;L;302;10;10;40000
8035;20;1;2023;71;L;128;11;3;40000
7140;22;7;2022;57;P;864;2;11;30000
5000;3;8;2023;80;P;397;8;11;50000
3824;21;2;2023;80;L;948;20;5;20000
4883;9;2;2024;24;L;442;11;10;40000
4408;3;1;2024;61;P;793;3;11;20000
602;23;4;2022;73;L;25;7;10;10000
5017;8;6;2024;63;L;567;16;3;10000
7891;18;4;2023;26;L;51;4;10;10000
9550;23;8;2023;75;L;19;14;8;30000
4995;5;2;2023;41;L;688;2;13;10000
1030;10;5;2022;71;L;984;19;2;50000
1006;20;4;2022;29;P;729;3;8;30000
1794;15;2;2024;41;P;373;6;10;50000
8227;9;2;2022;59;L;837;13;3;40000
1681;6;8;2024;35;L;371;5;6;50000
4384;20;5;2023;59;P;626;18;5;40000
2527;28;9;2024;66;L;328;16;10;30000
3682;26;1;2023;69;P;21;6;2;30000
9586;4;11;2022;51;P;237;14;4;10000
3354;6;7;2024;46;L;511;13;3;10000
1596;22;7;2023;40;L;564;13;2;10000
2885;5;12;2022;36;L;763;3;7;30000
8338;28;8;2024;44;L;181;1;7;30000
2829;13;9;2023;78;L;376;20;5;30000
993;9;11;2022;61;L;408;9;7;20000
4996;6;9;2022;67;P;825;6;4;20000
8907;2;1;2023;23;P;586;7;10;10000
2510;7;3;2023;32;L;372;2;1;50000
2816;22;1;2022;32;L;112;5;13;20000
8875;9;3;2023;59;L;998;5;10;10000
6405;30;3;2022;37;L;156;5;1;10000
3431;22;5;2024;77;P;947;13;11;10000
6369;23;4;2024;26;L;910;5;1;40000
977;16;5;2024;76;P;450;5;11;40000
9320;13;5;2022;28;P;227;5;3;40000
9032;4;6;2024;26;P;795;14;8;30000
160;31;11;2022;63;P;387;7;4;10000
597;24;4;2024;80;L;399;18;14;40000
3601;31;10;2023;62;L;10;8;7;50000
766;24;3;2022;26;P;520;18;2;20000
7391;15;3;2024;52;L;706;8;2;10000
8580;10;1;2022;25;P;967;1;12;30000
5610;23;8;2022;68;P;881;5;13;20000
3359;15;6;2024;30;L;489;9;10;30000
230;10;5;2024;50;L;428;1;12;10000
1946;25;12;2024;73;L;846;2;13;20000
9244;20;9;2022;39;P;167;2;2;30000
8530;10;2;2022;55;L;808;2;5;50000
4952;5;7;2023;42;P;387;10;3;50000
4867;24;2;2024;35;L;483;13;7;30000
6307;12;4;2023;59;P;462;6;13;10000
2836;29;12;2023;60;L;51;19;5;20000
4839;12;9;2024;33;L;559;16;10;30000
7549;9;10;2023;54;P;397;13;9;50000
8703;13;6;2022;62;L;80;13;5;40000
3717;18;12;2022;55;P;854;18;13;20000
9894;23;7;2022;60;P;824;17;13;10000
1971;7;10;2023;45;L;297;13;2;40000
8142;31;3;2022;24;P;259;1;10;50000
3688;31;1;2024;28;L;697;9;11;40000
3838;18;12;2024;29;P;973;1;4;50000
4965;3;5;2022;35;L;343;18;6;30000
4830;18;6;2022;28;L;46;16;9;20000
2477;19;8;2024;28;P;749;10;4;10000
7745;14;5;2023;42;L;511;4;11;20000
9089;24;12;2022;36;L;667;20;10;20000
9888;17;4;2024;58;L;908;20;7;40000
553;16;3;2022;70;L;580;13;14;20000
8569;28;3;2023;47;L;229;15;6;50000
8965;2;3;2023;24;P;864;19;9;20000
1670;16;5;2023;43;P;200;17;10;10000
6445;6;8;2023;31;P;564;12;4;20000
1466;29;12;2022;68;L;316;15;10;30000
5375;21;4;2024;64;L;541;5;2;10000
6661;23;10;2023;71;P;537;2;12;50000
4001;7;5;2024;26;L;81;16;6;50000
2220;14;9;2024;71;P;55;5;9;30000
5730;12;8;2023;66;L;22;2;5;30000
9314;6;11;2022;73;P;590;11;13;40000
3236;23;8;2024;49;P;820;11;6;20000
356;26;8;2024;74;L;582;16;13;50000
9142;25;9;2024;77;L;697;7;6;40000
6329;25;6;2022;60;P;845;2;6;50000
1537;15;8;2024;64;L;675;12;3;40000
7682;23;10;2023;33;L;844;5;4;30000
1776;2;8;2022;50;P;545;20;1;20000
1024;21;7;2024;29;P;922;13;6;30000
3900;1;6;2023;58;L;294;19;8;10000
5270;30;8;2022;35;P;164;9;3;50000
6908;2;11;2024;26;L;682;15;6;10000
4877;16;8;2023;22;L;529;10;7;20000
2225;30;1;2023;55;P;461;14;7;40000
9344;6;10;2024;34;L;157;18;5;20000
2714;8;4;2022;60;L;502;18;1;40000
419;19;9;2022;42;L;901;1;8;20000
5307;6;5;2023;80;P;265;5;9;20000
7339;22;8;2022;33;P;206;11;10;40000
5744;9;11;2024;57;P;726;9;12;30000
8060;6;10;2024;54;P;837;19;7;30000
1924;28;11;2024;63;L;861;13;6;20000
5494;25;7;2023;80;P;405;11;2;50000
4813;16;6;2024;59;P;971;17;10;50000
6937;14;3;2022;28;P;110;18;14;30000
1804;19;10;2022;38;P;246;18;3;20000
3141;6;2;2023;69;L;471;19;2;10000
6826;11;10;2022;39;L;207;10;10;40000
8843;10;7;2023;43;L;94;3;1;10000
873;1;9;2022;51;L;756;3;11;20000
4116;17;9;2022;51;P;704;12;9;30000
8681;18;9;2022;42;P;114;5;6;10000
2740;5;6;2023;66;P;761;14;5;20000
3670;27;7;2023;48;P;751;20;3;50000
5458;11;7;2022;66;L;847;8;1;10000
7413;16;12;2024;45;P;91;1;1;50000
464;29;2;2022;50;P;723;10;11;40000
27;19;5;2024;70;P;12;17;10;10000
889;3;8;2023;73;P;802;2;11;50000
3590;7;7;2023;53;L;388;1;7;10000
1468;5;11;2023;23;P;478;12;6;20000
4905;29;4;2022;22;P;936;2;13;40000
6029;27;4;2022;76;P;460;19;13;10000
1354;7;7;2022;46;P;917;17;2;10000
8840;17;1;2023;37;P;222;3;9;30000
8253;10;1;2024;63;P;752;3;4;30000
4470;6;9;2024;41;L;200;9;10;20000
6096;5;12;2024;71;P;754;3;4;30000
5341;8;6;2024;70;L;60;5;14;50000
8040;5;1;2024;74;P;523;4;4;50000
6226;1;11;2024;33;P;553;16;5;40000
1093;3;1;2024;22;P;146;20;12;20000
5702;11;1;2023;27;L;378;10;11;50000
3288;1;1;2022;55;P;415;12;10;20000
9124;6;1;2024;47;L;679;18;5;50000
5709;28;11;2024;24;L;21;5;5;30000
2888;7;3;2023;48;P;353;9;6;50000
7884;24;5;2023;73;P;852;11;14;40000
1155;4;3;2023;33;P;947;13;12;10000
5697;11;11;2023;53;L;651;9;9;20000
7787;20;9;2024;55;P;148;19;10;10000
